date,ticker,entry_price,exit_price,amount
1970-08-06,SOYBEAN FUTURE    Jul23,"Dates
1970-07-17    119.667441
Name: SOYBEAN FUTURE    Jul23, dtype: float64",113.57053459681724,0.0
1970-08-06,COCOA FUTURE      Jul23,"Dates
1970-07-17    56.210647
Name: COCOA FUTURE      Jul23, dtype: float64",64.88265598168284,0.0
1970-08-06,SUGAR #11 (WORLD) Jul23,109.8678518052386,,-23014.92083401043
1970-08-06,WHEAT FUTURE(CBT) Jul23,115.11104659602258,,0.0
1970-08-06,LIVE CATTLE FUTR  Aug23,140.79009995240372,,-0.0
1970-08-06,COTTON NO.2 FUTR  Jul23,70.97221090375668,,0.0
1970-08-06,CORN FUTURE       Jul23,118.03841719206127,,-0.0
1970-08-06,SOYBEAN FUTURE    Jul23,113.57053459681724,,0.0
1970-08-06,COCOA FUTURE      Jul23,64.88265598168284,,0.0
1970-08-14,SUGAR #11 (WORLD) Jul23,"Dates
1970-08-06    109.867852
Name: SUGAR #11 (WORLD) Jul23, dtype: float64",109.86785180523859,-23014.92083401043
1970-08-14,WHEAT FUTURE(CBT) Jul23,"Dates
1970-08-06    115.111047
Name: WHEAT FUTURE(CBT) Jul23, dtype: float64",117.86642737433847,0.0
1970-08-14,LIVE CATTLE FUTR  Aug23,"Dates
1970-08-06    140.7901
Name: LIVE CATTLE FUTR  Aug23, dtype: float64",141.01750489185056,-0.0
1970-08-14,COTTON NO.2 FUTR  Jul23,"Dates
1970-08-06    70.972211
Name: COTTON NO.2 FUTR  Jul23, dtype: float64",72.45538260940414,0.0
1970-08-14,CORN FUTURE       Jul23,"Dates
1970-08-06    118.038417
Name: CORN FUTURE       Jul23, dtype: float64",127.60591713073111,-0.0
1970-08-14,SOYBEAN FUTURE    Jul23,"Dates
1970-08-06    113.570535
Name: SOYBEAN FUTURE    Jul23, dtype: float64",115.60879671017321,0.0
1970-08-14,COCOA FUTURE      Jul23,"Dates
1970-08-06    64.882656
Name: COCOA FUTURE      Jul23, dtype: float64",68.54607899255862,0.0
1970-08-14,COTTON NO.2 FUTR  Jul23,72.45538260940414,,3517.2589701658603
1970-08-14,SUGAR #11 (WORLD) Jul23,109.86785180523859,,-0.0
1970-08-14,WHEAT FUTURE(CBT) Jul23,117.86642737433847,,0.0
1970-08-14,LIVE CATTLE FUTR  Aug23,141.01750489185056,,-0.0
1970-08-14,CORN FUTURE       Jul23,127.60591713073111,,-0.0
1970-08-14,SOYBEAN FUTURE    Jul23,115.60879671017321,,0.0
1970-08-14,COCOA FUTURE      Jul23,68.54607899255862,,0.0
1970-08-18,COTTON NO.2 FUTR  Jul23,"Dates
1970-08-14    72.455383
Name: COTTON NO.2 FUTR  Jul23, dtype: float64",72.07236574036331,3517.2589701658603
1970-08-18,SUGAR #11 (WORLD) Jul23,"Dates
1970-08-14    109.867852
Name: SUGAR #11 (WORLD) Jul23, dtype: float64",112.98277353889702,-0.0
1970-08-18,WHEAT FUTURE(CBT) Jul23,"Dates
1970-08-14    117.866427
Name: WHEAT FUTURE(CBT) Jul23, dtype: float64",119.2441177634964,0.0
1970-08-18,LIVE CATTLE FUTR  Aug23,"Dates
1970-08-14    141.017505
Name: LIVE CATTLE FUTR  Aug23, dtype: float64",141.24490983129738,-0.0
1970-08-18,CORN FUTURE       Jul23,"Dates
1970-08-14    127.605917
Name: CORN FUTURE       Jul23, dtype: float64",132.60554914996425,-0.0
1970-08-18,SOYBEAN FUTURE    Jul23,"Dates
1970-08-14    115.608797
Name: SOYBEAN FUTURE    Jul23, dtype: float64",116.32397639907003,0.0
1970-08-18,COCOA FUTURE      Jul23,"Dates
1970-08-14    68.546079
Name: COCOA FUTURE      Jul23, dtype: float64",68.86090440755575,0.0
1970-08-18,LIVE CATTLE FUTR  Aug23,141.24490983129738,,-1830.1163130391449
1970-08-18,COTTON NO.2 FUTR  Jul23,72.07236574036331,,0.0
1970-08-18,SUGAR #11 (WORLD) Jul23,112.98277353889702,,-0.0
1970-08-18,WHEAT FUTURE(CBT) Jul23,119.2441177634964,,-0.0
1970-08-18,CORN FUTURE       Jul23,132.60554914996425,,-0.0
1970-08-18,SOYBEAN FUTURE    Jul23,116.32397639907003,,0.0
1970-08-18,COCOA FUTURE      Jul23,68.86090440755575,,0.0
1970-08-25,LIVE CATTLE FUTR  Aug23,"Dates
1970-08-18    141.24491
Name: LIVE CATTLE FUTR  Aug23, dtype: float64",139.15066899360104,-1830.1163130391449
1970-08-25,COTTON NO.2 FUTR  Jul23,"Dates
1970-08-18    72.072366
Name: COTTON NO.2 FUTR  Jul23, dtype: float64",72.67541357672546,0.0
